metric,Pearson,Spearman,dataset
Δlargest_eig,-0.3608935745043316,-0.7748062179181807,ScrewSet-C
Δpr,-0.07404939123079757,-0.4684874806016907,ScrewSet-C
Δtrace,-0.3198349384002236,-0.23424374030084535,ScrewSet-C
Δhead10,0.08445436770922296,-0.23424374030084535,ScrewSet-C
Δneff,-0.16057298723359312,-0.16216874328520064,ScrewSet-C
Δalpha,-0.23719994886609835,-0.03603749850782236,ScrewSet-C
Δkappa,0.15306489735931322,0.07207499701564472,ScrewSet-C
Δtail,-0.0844544183319523,0.23424374030084535,ScrewSet-C
Δspectral_entropy,0.33450180859027695,0.396412483586046,ScrewSet-C
Δneff,-0.5142686365926704,-0.4857142857142857,CIFAR-10-C
Δhead10,-0.22430292844911387,-0.16541353383458643,CIFAR-10-C
Δlargest_eig,-0.027098549400907015,0.013533834586466165,CIFAR-10-C
Δkappa,-0.027098549400907015,0.013533834586466165,CIFAR-10-C
Δtail,0.2243024632488259,0.16541353383458643,CIFAR-10-C
Δspectral_entropy,0.258317107829213,0.22255639097744356,CIFAR-10-C
Δpr,0.3013339115101509,0.3037593984962406,CIFAR-10-C
Δalpha,0.2478171482003445,0.3233082706766917,CIFAR-10-C
Δtrace,0.33760645488532665,0.3789473684210526,CIFAR-10-C
